"id","confidence","correct","domain","model","seed","signal"
"generative-42-fin-test-29","1.0","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-30","0.0","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-31","1.0","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-32","1.0","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-33","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-34","0.4","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-35","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-36","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-37","1.0","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-38","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-40","1.0","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-41","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-42","0.6","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-43","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-44","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-45","0.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-46","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-47","0.0","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-48","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-49","0.4","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-50","1.0","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-51","1.0","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-52","0.4","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-53","0.0","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-54","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-55","1.0","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-56","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-57","1.0","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-58","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-59","0.2","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-60","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-61","0.0","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-62","0.8","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-63","1.0","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-64","1.0","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-65","1.0","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-66","0.8","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-67","0.4","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-68","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-69","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-70","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-71","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-72","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-73","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-74","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-75","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-76","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-77","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-78","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-79","0.6","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-80","0.2","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-81","1.0","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-82","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-83","0.0","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-84","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-85","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-86","0.6","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-87","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-88","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-89","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-90","0.0","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-91","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-92","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-93","1.0","1","fin_test","generative","42","conf_min_sc"
